Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Fix versions,Fix versions,Components,Components,Components,Components,Components,Components,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Discovery - Connected),Outward issue link (Discovery - Connected),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Polaris datapoint work item link),Inward issue link (Polaris datapoint work item link),Inward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Inward issue link (Polaris work item link),Outward issue link (Polaris work item link),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Android Version),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Backout plan),Custom field (Category),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Department),Custom field (Department),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Feature),Custom field (Feature),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Implementation plan),Custom field (Insights),Custom field (Investigation reason),Custom field (Is For DevRev),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Product categorization),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Roadmap),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Spec ready),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Value),Custom field (Vulnerability),Custom field (Web Version),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (iOS Version),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
iOS - No Access Code Visibility on Mobile,ZP-1851,37066,Sub-task,In Progress,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Kush,712020:9881bb6e-cbf7-47a6-bf7a-838a383b2866,Dharmesh Avaiya,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,Dharmesh Avaiya,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,10/Apr/26 6:13 AM,10/Apr/26 6:22 AM,,,iOS v1.29,,,,,,,,,,0,,,,,,,"*Medium Priority*

Currently, I can't find a way to see the Access Notes easily on mobile, without editing the location itself. This should be visible right from the Locations tab and in Assets in the Work Order on Mobile.",,Dharmesh Avaiya,,,,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ef09e18,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00zow:,,,,,,,,,,,,,Z-26-04-S1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32361,ZP-1394,No Access Code Visibility on Mobile,In Progress,10/Apr/26 6:22 AM
Android - No Access Code Visibility on Mobile,ZP-1850,37064,Sub-task,To Do,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Rajat Patel,712020:4adb279c-383d-4a86-b512-a5a829380b9f,Dharmesh Avaiya,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,Dharmesh Avaiya,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,10/Apr/26 6:13 AM,10/Apr/26 6:18 AM,,,Android v1.18,,,,,,,,,,0,,,,,,,"*Medium Priority*

Currently, I can't find a way to see the Access Notes easily on mobile, without editing the location itself. This should be visible right from the Locations tab and in Assets in the Work Order on Mobile.",,Dharmesh Avaiya,,,,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a96ad52,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00zoo:,,,,,,,,,,,,,Z-26-04-S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32361,ZP-1394,No Access Code Visibility on Mobile,To Do,10/Apr/26 6:18 AM
"Z | iOS | Multiple Popup UI Freeze Issues in Connection, Terminal, and OCP Modules",ZP-1849,37026,Bug,To Do,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Kush,712020:9881bb6e-cbf7-47a6-bf7a-838a383b2866,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,10/Apr/26 4:45 AM,10/Apr/26 4:45 AM,,,,,,,,,,,,,0,,,,,,,"*Steps to Reproduce:*

# Login to the application.
# Navigate to *Connection* module.
# Try to add a *Connection Type* → observe popup behavior.
# Go to *Terminal* under Connection → open any popup.
# Navigate to *Asset → OCP*.
# Try the following actions:
#* Add *New Connection*
#* Open *Asset Class* popup
#* Interact with *OCP popup*
# Observe UI behavior in each case.

*Actual Result:*

* *Connection Type popup gets stuck* and does not respond properly.
* Similar *popup freeze issue occurs in Terminal*.
* In *OCP module*:
** Popup gets *stuck/unresponsive*.
** While adding new connection, the *keyboard gets stuck*.
** *Asset Class popup also freezes*.
* Overall, multiple popups are *not closing/responding*, causing UI issues.

*Expected Result:*

* All popups should *open, function, and close smoothly*.
* Keyboard should *work properly without freezing*.
* No UI should get stuck; user should be able to interact seamlessly across modules.",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6762cd03,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00zog:,,,,,,,,,,,,,Z-26-04-S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,10/Apr/26 4:45 AM
Z | FE | Issue Report Not Displayed When Generated from EMP Questionnaire for Asset with Existing Issue,ZP-1848,36993,Bug,To Do,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,High,,Krunal lunagariya,712020:3f10dc9f-7dee-4e11-afd1-782b80cb8f02,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,10/Apr/26 2:05 AM,10/Apr/26 2:05 AM,,,Web v1.23,,,,,,,,,,0,,,,,,,"*Steps to Reproduce:*

# Login to the application.
# Navigate to *EMP Questionnaire*.
# Select an *asset* that already has an issue.
# Complete the questionnaire and click on *Generate Issue Report*.
# Open the generated report.

*Actual Result:*

* The report contains only *one page*.
* *Issue details are not displayed* in the report.

*Expected Result:*

* The report should include *all relevant issue details* for the selected asset.
* The report should generate *complete content (multiple pages if applicable)* instead of a blank or incomplete report.
!Recording 2026-04-10 123216.mp4|width=639,alt=""Recording 2026-04-10 123216.mp4""!",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/Apr/26 2:05 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;Recording 2026-04-10 123216.mp4;https://egalvanic.atlassian.net/rest/api/3/attachment/content/23147,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ff7d563,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00zo8:,,,,,,,,,,,,,Z-26-04-S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,10/Apr/26 2:05 AM
[iOS] Save entire sync queue json in database on flush,ZP-1847,36960,Task,Backlog,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Kush,712020:9881bb6e-cbf7-47a6-bf7a-838a383b2866,Dharmesh Avaiya,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,Dharmesh Avaiya,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,10/Apr/26 12:25 AM,10/Apr/26 12:59 AM,,,iOS v1.30,,,iOS,,,,,,,0,INTERNAL,,,,,,"h3. Summary

The issue involves the app deleting all local database data when a user switches sites, resulting in the loss of unsynced offline edits. The expected behavior is to retain local data per site and ensure unsynced data is not deleted during site switches.

h3. Context

Currently, when switching sites, the app clears all local data, which leads to unsynced edits becoming unprocessable. The goal is to improve data retention and syncing behavior across multiple sites.

h3. Acceptance criteria

* Site A's data remains intact when switching to Site B and back.
* Sync queue items from Site A are preserved after switching to Site B and synced when returning to Site A.
* Data from multiple sites coexists in the local database without leakage.
* Each site switch fetches data from the server using an upsert strategy.
* Sync queue processes only items for the active site.
* No cross-site data leakage occurs on any screen.
* The ""Clear Database"" option in settings clears all sites' data and the sync queue.
* Logging out clears all data.

h3. Other information

*Current Behavior:*  
When a user switches sites, the app deletes ALL local database data ({{clearAllSLDData()}} in {{SLDService.kt}}) and fetches fresh data for the new site. Any unsynced offline edits (sync queue items) lose their referenced entities, making them unprocessable and effectively lost.

*Expected Behavior:*

* Local data retained per-site, mapped by {{sldId}} — not deleted on site switch.
* Always re-fetch target site data from server on switch (upsert, not delete + insert).
* Unsynced data never deleted on site switch.
* Sync queue processes only active site's items.
* Unsynced data removed only after: successful sync, manual Clear Database, or app uninstall.

*Technical Scope:*

||Phase||Details||
|Schema (DB v24→25)|Add {{sldId}} to {{sync_queue_item}} + {{quotes}} tables|
|SyncQueueItem|Add {{sldId}} field, update all factory methods + ~15 call sites|
|SLDService rewrite|Remove {{clearAllSLDData()}} from switch flow; keep for Settings/logout only|
|Sync processing|Filter {{FlushSyncQueueUseCase}} by active sldId|
|DAO queries|Add site-scoped queries to QuoteDao, AttachmentDao, SLDViewDao, SyncQueueItemDao|
|ViewModel audit|Ensure all queries filter by active sldId|

*Key Files:* {{SLDService.kt}}, {{SyncQueueItem.kt}}, {{Quote.kt}}, {{SyncQueueItemDao.kt}}, {{QuoteDao.kt}}, {{DatabaseMigrations.kt}}, {{AppDatabase.kt}}, {{FlushSyncQueueUseCase.kt}}, {{SyncQueueForegroundService.kt}}, {{SelectSiteViewModel.kt}}, + ~15 use cases

*Testing:* Migration test, round-trip switch, sync queue preservation, active-site-only sync, no data leakage, upsert idempotency, clear database, logout.",,Dharmesh Avaiya,,,,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,,,,,,,,,,,,,,,,,,,,,,,,,,ZP-1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c529a7f,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00zo0:,,,,,,,,,,,,,Z-26-04-S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,10/Apr/26 12:25 AM
Z | iOS | Room Filter UI Stuck While Scrolling in Issue Details Screen,ZP-1846,36959,Bug,To Do,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Kush,712020:9881bb6e-cbf7-47a6-bf7a-838a383b2866,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,10/Apr/26 12:25 AM,10/Apr/26 12:58 AM,,,,,,,,,,,,,0,,,,,,,"*Steps to Reproduce:*

# Login to the application.
# Navigate to *Issue Details*.
# Apply *Room filter*.
# Scroll the screen.
# Observe the behavior of the Room filter UI.

*Actual Result:*

* The *Room filter UI remains stuck at the top* while scrolling.
* Due to this, the *UI breaks and overlaps with other elements*.

*Expected Result:*

* The *Room filter should scroll smoothly along with the page*.
* UI should remain properly aligned without breaking or overlapping.
!Video_20260410_105232_572_1.mp4|width=639,alt=""Video_20260410_105232_572_1.mp4""!",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/Apr/26 12:25 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;Video_20260410_105232_572_1.mp4;https://egalvanic.atlassian.net/rest/api/3/attachment/content/23114,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6fa78e0,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00wyr:di,,,,,,,,,,,,,Z-26-04-S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,10/Apr/26 12:25 AM
Z | iOS | Site Created Without Location Even Though Location is Mandatory,ZP-1845,36958,Bug,To Do,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Kush,712020:9881bb6e-cbf7-47a6-bf7a-838a383b2866,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,10/Apr/26 12:09 AM,10/Apr/26 6:30 AM,,,iOS v1.29,,,,,,,,,,0,,,,,,,"*Steps to Reproduce:*

# Login to the application.
# Navigate to *Site*.
# Click on *Create Site*.
# Do not enter/select any *Location*.
# Fill in other required details and click *Save/Create*.
# Observe the result.

*Actual Result:*

* The site is created successfully *without adding a location*.

*Expected Result:*

* The system should *not allow site creation without a location*.
* A *validation message* should be displayed indicating that location is mandatory.
* Location field should be *required (mandatory)* before saving.
!Video_20260410_103704_391_1.mp4|width=639,alt=""Video_20260410_103704_391_1.mp4""!",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/Apr/26 12:09 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;Video_20260410_103704_391_1.mp4;https://egalvanic.atlassian.net/rest/api/3/attachment/content/23113,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@45adf5e0,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00znk:,,,,,,,,,,,,,Z-26-04-S1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,10/Apr/26 12:09 AM
Introduce SKM designation vs. SKM override... imports from SKM are known designations that should produce eqp_lib suggestions and vice versa,ZP-1844,36957,Story,Branch Done,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,,,Eric Ehlert,623b9df4866b810069e4062a,Eric Ehlert,623b9df4866b810069e4062a,09/Apr/26 10:30 PM,10/Apr/26 12:55 AM,,,,,,,,,,,,,0,,,,,,,,,Eric Ehlert,,,,623b9df4866b810069e4062a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@131e4cf0,,,,,,,,,,,,,,,,"{repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2026-04-10T00:55:04.000-0500"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00znc:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36945,ZP-1838,SKM Import Improvements,In Progress,10/Apr/26 12:55 AM
Add search bar to library designations screen,ZP-1843,36955,Bug,Branch Done,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,,,Eric Ehlert,623b9df4866b810069e4062a,Eric Ehlert,623b9df4866b810069e4062a,09/Apr/26 10:29 PM,09/Apr/26 10:38 PM,,,,,,,,,,,,,0,,,,,,,,,Eric Ehlert,,,,623b9df4866b810069e4062a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9a02f4,,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-09T22:38:26.000-0500"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00zn4:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36945,ZP-1838,SKM Import Improvements,In Progress,09/Apr/26 10:38 PM
Bottom of source/target connections datagrid is not visible,ZP-1842,36953,Bug,Branch Done,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,,,Eric Ehlert,623b9df4866b810069e4062a,Eric Ehlert,623b9df4866b810069e4062a,09/Apr/26 10:27 PM,09/Apr/26 10:33 PM,,,,,,,,,,,,,0,,,,,,,,,Eric Ehlert,,,,623b9df4866b810069e4062a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4854e54f,,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-09T22:32:54.000-0500"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00zmw:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36945,ZP-1838,SKM Import Improvements,In Progress,09/Apr/26 10:33 PM
