"role_id","role_name","permission_name","permission_resource","permission_action"
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,accounts.manage,accounts,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,accounts.view,accounts,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,attachments.manage,attachments,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,attachments.update,attachments,update
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,attachments.upload,attachments,upload
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,attachments.view,attachments,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,bulk_operations.manage,bulk_operations,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,bulk_operations.view,bulk_operations,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,company_data.view,company_data,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,contacts.manage,contacts,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,contacts.view,contacts,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,data.export,data,export
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,data.import,data,import
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,devices.manage,devices,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,devices.view,devices,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,edge_classes.manage,edge_classes,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,edge_classes.view,edge_classes,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,edges.manage,edges,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,edges.view,edges,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.assets.view,features.assets,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.condition_assessment.view,features.condition_assessment,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.jobs.view,features.jobs,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.opportunities.view,features.opportunities,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.salesdb.view,features.salesdb,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.settings.view,features.settings,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.settings.pm.view,features.settings.pm,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.site_visits.view,features.site_visits,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.slds.view,features.slds,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,form_instances.manage,form_instances,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,form_instances.view,form_instances,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,forms.manage,forms,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,forms.view,forms,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.goals.manage,goals,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,issue_classes.manage,issue_classes,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,issue_classes.view,issue_classes,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,issues.manage,issues,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,issues.view,issues,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,jobs.manage,jobs,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,jobs.view,jobs,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,locations.manage,locations,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,locations.view,locations,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,mappings.manage,mappings,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,mappings.view,mappings,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,node_classes.manage,node_classes,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,node_classes.view,node_classes,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,nodes.manage,nodes,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,nodes.view,nodes,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,opportunities.manage,opportunities,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,opportunities.view,opportunities,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,photos.manage,photos,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,photos.view,photos,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,platform.mobile,platform,mobile
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,platform.web,platform,web
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,procedures.manage,procedures,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,procedures.view,procedures,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,quotes.approve,quotes,approve
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,quotes.manage,quotes,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,quotes.view,quotes,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,reports.generate,reports,generate
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,reports.manage,reports,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,reports.view,reports,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,sessions.manage,sessions,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,sessions.view,sessions,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,shortcuts.manage,shortcuts,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,shortcuts.view,shortcuts,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,slds.manage,slds,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,slds.share,slds,share
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,slds.view,slds,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,tasks.assign,tasks,assign
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,tasks.manage,tasks,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,tasks.view,tasks,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,users.manage,users,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,users.view,users,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,workorders.manage,workorders,manage
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,workorders.view,workorders,view
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.accounts.view,,
"92f38105-0c53-475b-ae57-52dcc4a96f11",Account Manager,features.goals.view,,
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,accounts.manage,accounts,manage
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,accounts.view,accounts,view
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,attachments.manage,attachments,manage
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,attachments.manage_internal,attachments,manage_internal
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,attachments.manage_public,attachments,manage_public
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,attachments.view,attachments,view
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,attachments.view_internal,attachments,view_internal
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,attachments.view_public,attachments,view_public
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,bulk_operations.manage,bulk_operations,manage
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,bulk_operations.view,bulk_operations,view
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,company_data.manage,company_data,manage
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,company_data.view,company_data,view
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,contacts.manage,contacts,manage
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,contacts.view,contacts,view
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,data.export,data,export
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,data.import,data,import
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,devices.manage,devices,manage
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,devices.view,devices,view
b60006dd-3cb6-455b-bf90-5d83198321b9,Admin,edge_classes.manage,edge_classes,manage
